lemma:	##
Bukačův_;S_/(*2)	59
Kentův_;S_/(*2)	59
Mendlův_;S_/(*2)	59
Warholův_;S_/(*2)	59
carův_/(*2)	59
Šalamounův_;Y_/(*2)	59
chovancův_/(*3ec)	59
Hugův-1_;Y	59
Růžičkův-1_;S_/(*4a-1)	59
Bělehrádkův_;S_/(*3ek)	59
Boženčin_;Y_/(*3ka)	59
Moliérův_;S_/(*2)	59
světcův_/(*3ec)	59
Sprattův	59
Štúrův_;S_/(*2)	59
Rabasův_;S_/(*2)	59
Chruščovův_;S_/(*2)	59
horákův_/(*2)	58
Zilkův_;S_/(*2)	58
Michaelův_;Y_/(*2)	58
Karadžičův_;S_/(*2)	58
Dzurindův_;S_/(*2a)	58
Vlachův_;S_/(*2)	58
ženichův_/(*2)	58
Doležalův_;S_/(*2)	58
vůdcův_/(*2e)	57
Sokolův-1_;S_/(*4-1)	57
Věřin_;Y_/(*3ra)	57
Stamicův_;S_/(*2)	57
Bergrův_;S_/(*2)	57
Lutherův_;Y_/(*2)	57
Grossmanův_;S_/(*2)	57
Albrechtův_;Y_/(*2)	57
Newtonův_;S_/(*2)	56
Krausův_;S_/(*2)	56
Léblův_;S_/(*2)	56
fotografův_/(*2)	56
učitelův_/(*2)	56
Priessnitzův_;S_/(*2)	56
Lannův_;S_/(*2a)	56
plukovníkův_/(*2)	56
Müllerův_;S_/(*2)	56
Ladův-4_;S_/(*4a-4)	56
Rostislavův_;Y_/(*2)	56
mlynářův_/(*2)	56
Descartův_;S_/(*2es)	56
Franzův_;Y_/(*2)	55
Komárkův_;S_/(*3ek)	55
Tisův_;S_/(*2o)	55
Lennonův_;S_/(*2)	55
Damonův_;S_/(*2)	55
Váchalův_;S_/(*2)	55
Hemingwayův_;S_/(*2)	55
Liznerův_;S_/(*2)	55
Lisztův_;S_/(*2)	55
Zeyerův_;S_/(*2)	54
Pospíšilův_;S_/(*2)	54
Saudkův_;S_/(*3ek)	54
Musilův_;S_/(*2)	54
Helenin_;Y_/(*2a)	54
Šotolův_;S_/(*2a)	54
Háchův_;S_/(*2a)	54
Suhartův_;S	54
Krumlův_;S_/(*2)	54
Habermasův_;S_/(*2)	54
Soudkův-1_;S_/(*5ek-1)	54
Kryčerův_;S_/(*2)	54
Starrův_;S_/(*2)	54
Apollinairův_;S_/(*2e)	54
Bizetův_;S_/(*2)	54
Ševčíkův_;S_/(*2)	54
starcův_/(*4řec)	54
Kleinův_;S_/(*2)	53
Vlastin-1_;Y_/(žena)_(*4a-1)	53
Platónův_;S_;Y_/(*4on)	53
Šostakovičův_;S_/(*2)	53
Češkův-2_;S_/(*4a-2)	53
Vladislavův_;Y_/(*2)	53
katův_/(*2)	53
Paretův_;S	53
Parkerův_;S_/(*2)	53
Husserlův_;S_/(*2)	53
Libušin_;Y_/(*2e)	53
Švejkův_;S_/(*2)	52
Mandelův_;S_/(*2a)	52
Ilieskův_;S_/(*3cu)	52
Verkrampův_;S_/(*2)	52
Billův_;Y_/(*2)	52
Koubův_;S_/(*2a)	52
Grulichův_;S_/(*2)	52
Vyskočilův_;S_/(*2)	52
Lucasův_;S_/(*2)	52
Štruncův_;S_/(*2)	52
Baudyšův_;S_/(*2)	52
Maškův_;S_/(*3ek)	52
kaplanův_/(*2)	51
Maxwellův_;S_/(*2)	51
Mertlíkův_;S_/(*2)	51
Fourierův_;S_/(*2)	51
Juliin_;Y_/(*2e)	51
havířův_/(*2)	51
Balladurův_;S_/(*2)	51
Gatesův_;S_/(*2)	51
Fričův_;S_/(*2)	51
Koněvův_;S_/(*2)	50
poslancův_/(*3ec)	50
Sofoklův_;S_;Y_/(*2es)	50
Vaškův_;S_;Y_/(*3ek)	50
Potěmkinův_;S_/(*2)	50
Hubertův_;Y_/(*2)	50
kovářův_/(*2)	50
Jakubiskův_;S_/(*2o)	50
Zelenkův_;S_/(*2a)	50
Kubelíkův_;S_/(*2)	50
Švankmajerův_;S_/(*2)	50
Radokův_;S_/(*2)	50
Hlaváčkův_;S_/(*3ek)	49
Durkheimův_;S_/(*2)	49
Strindbergův_;S_/(*2)	49
Gajdův_;S_/(*2a)	49
Borkův_;Y_,h_/(*3ek)	49
Ferdinandův_;Y_/(*2)	49
Lebeděvův_;S_/(*2)	49
špačkův_/(*3ek)	49
Trnkův-1_;S_/(*4a-1)	49
Richardův_;Y_/(*2)	49
Charleyův_;Y_/(*2)	49
klientův_/(*2)	49
Poeův_;S	49
Žerotínův_;S_/(*2)	49
Schneiderův_;S_/(*2)	48
Michálkův_;S_/(*3ek)	48
Schopenhauerův_;S_/(*2)	48
Kadlecův_;S_/(*2)	48
zpěvaččin_/(*5ák)	48
Jordanův-1_;S_/(*4-1)	48
Vieweghův_;S_/(*2)	48
Alexův_;Y_/(*2)	48
Minův_;S_/(*2)	48
uživatelův_/(*2)	48
Jepančinův_;S_/(*2)	48
rasův_/(*2)	48
Loganův_;G_/(*2)	48
Pandořin_;S_/(*3ra)	48
Švermův_;S_/(*2a)	48
Divišův_;Y_/(*2)	48
Žákův_;S_/(*2)	48
Steinerův_;S_/(*2)	47
Dybův_;S_/(*2a)	47
Flemingův_;S_/(*2)	47
Kachyňův_;S_/(*2a)	47
Škroupův_;S_/(*2)	47
Madonnin_;Y_/(*2a)	47
Bennův_;S_/(*2)	47
satanův_/(*2)	47
Shawův_;S_/(*2)	47
Gurionův_;S_/(*2)	47
Rubensův_;S_/(*2)	47
Braunův_;S_/(*2)	47
Gajdarův_;S_/(*2)	47
Homérův_;Y_/(*2)	47
kašparův_/(*2)	47
Kinkelův_;S_/(*2)	47
Zapletalův_;S_/(*2)	47
Maradonův_;S_/(*2a)	46
Jospinův_;S_/(*2)	46
Machův_;S_/(*2)	46
Skácelův_;S_/(*2)	46
Janouškův_;S_/(*3ek)	46
Šmeralův_;S_/(*2)	46
Romanův_;S_;Y_/(*2)	46
Prokofjevův_;S_/(*2)	46
Jeanův_;Y_/(*2)	46
Blažkův_;S_/(*3ek)	46
Abrahámův_;Y_/(*2)	46
Hellichův_;S_/(*2)	46
Clarkův_;S_/(*2)	46
Lopatkův-1_;S_/(*4a-1)	46
Gedeonův_;S_/(*2)	46
Diův_;S	45
Ničirenův_;S_/(*2)	45
Pawlakův_;S_/(*2)	45
Jelínkův_;S_/(*3ek)	45
Tudjmanův_;S_/(*2)	45
bankéřův_/(*2)	45
Ivanův_;Y_/(*2)	45
Jungův_;S_/(*2)	45
Kingův_;S_/(*2)	45
Hammingův_;S_/(*2)	45
Hippokratův_;S_/(*2es)	45
Tomášův_;Y_/(*2)	45
Calvinův_;S_/(*2)	45
Bolzanův_;S	45
Jasonův_;S_;Y_,x_/(*7Iásón)	45
Lincolnův-2_;S_/(*4-2)	45
Albertův_;Y_/(*2)	44
Vladimirův_;Y_/(*2)	44
Krejčův_;S_/(*2a)	44
Kamilův_;Y_/(*2)	44
Jandův_;S_/(*2a)	44
Zábranův_;S_/(*2a)	44
Baránkův_;S_/(*3ek)	44
Georgův_;Y_/(*2)	44
Lenin-1_;Y_/(*4a-1)	44
Kosíkův_;S_/(*2)	44
Baudelairův_;S_/(*2e)	44
Collinsův_;S_/(*2)	44
Dykův_;S_/(*2)	44
Euripidův_;S_;Y_/(*2es)	44
Scottův_;Y_/(*2)	44
Tysonův_;Y_/(*2)	43
Flynnův_;S_/(*2)	43
Archimedův_;S_;Y_/(*2es)	43
Waigelův_;S_/(*2)	43
Lynchův_;S_/(*2)	43
Michalův_;Y_/(*2)	43
Kozyrevův_;S_/(*2)	43
Ludvíkův_;Y_/(*2)	43
Bruegelův_;S_/(*2)	43
Brabcův_;S_/(*3ec)	43
Kotěrův_;S_/(*2a)	43
Navrátilův_;S_/(*2)	43
Singerův_;S_/(*2)	43
Gonzálezův_;S_/(*2)	43
