Albuquerque	35.101026|-106.518338|New Mexico
Albuquerque	35.103822|-106.671215|New Mexico
Albuquerque	35.110417|-106.578052|New Mexico
Albuquerque	35.134724|-106.522164|New Mexico
Albuquerque	35.134742|-106.642747|New Mexico
Albuquerque	35.142146|-106.704137|New Mexico
Albuquerque	35.150580|-106.569004|New Mexico
Albuquerque	35.175906|-106.601467|New Mexico
Albuquerque	35.178715|-106.510176|New Mexico
Alburg	44.968454|-73.280963|Vermont
Alburnett	42.158322|-91.639245|Iowa
Alburtis	40.486201|-75.621130|Pennsylvania
Alcalde	37.073853|-84.604362|Kentucky
Alcester	43.004726|-96.633243|South Dakota
Alco	35.894511|-92.380753|Arkansas
Alcoa	35.785220|-83.980895|Tennessee
Alcolu	33.768402|-80.178782|South Carolina
Alcova	42.568383|-106.610199|Wyoming
Alcove	42.453818|-74.034721|New York
Alda	40.856923|-98.455135|Nebraska
Alden	33.633560|-86.948221|Alabama
Alden	38.234303|-98.311202|Kansas
Alden	42.517890|-93.384123|Iowa
Alden	42.898390|-78.525707|New York
Alden	43.646586|-93.582307|Minnesota
Alden	44.877887|-85.224100|Michigan
Alden Manor	40.699615|-73.705751|New York
Aldenville	41.642679|-75.367490|Pennsylvania
Alder Creek	43.415659|-75.213748|New York
Aldie	38.957878|-77.602281|Virginia
Aldrich	37.505667|-93.557642|Missouri
Aldrich	46.402538|-94.992017|Minnesota
Aledo	32.700351|-97.603885|Texas
Aledo	41.200780|-90.741629|Illinois
Aleknagik	59.269688|-158.619882|Alaska
Aleppo	39.824647|-80.457918|Pennsylvania
Alex	34.961202|-97.757090|Oklahoma
Alexander	34.631266|-92.472673|Arkansas
Alexander	35.706394|-82.631134|North Carolina
Alexander	38.456996|-99.537828|Kansas
Alexander	38.851145|-80.274339|West Virginia
Alexander	42.811395|-93.445000|Iowa
Alexander	42.915851|-78.258890|New York
Alexander Mills	35.301753|-81.864247|North Carolina
Alexandria	31.268272|-92.424169|Louisiana
Alexandria	31.288519|-92.463349|Louisiana
Alexandria	31.304838|-92.508892|Louisiana
Alexandria	33.780785|-85.892447|Alabama
Alexandria	36.071147|-86.037171|Tennessee
Alexandria	38.806018|-77.052867|Virginia
Alexandria	38.814871|-77.120989|Virginia
Alexandria	38.819099|-77.148438|Virginia
Alexandria	38.820042|-77.058901|Virginia
Alexandria	38.832039|-77.119962|Virginia
Alexandria	38.833540|-77.092412|Virginia
Alexandria	38.837184|-77.064039|Virginia
Alexandria	38.940605|-84.394329|Kentucky
Alexandria	40.105965|-82.607683|Ohio
Alexandria	40.256081|-85.668148|Indiana
Alexandria	40.261446|-97.403855|Nebraska
Alexandria	40.344514|-91.515437|Missouri
Alexandria	45.881747|-95.381994|Minnesota
Alexis	35.383613|-81.102204|North Carolina
Alexis	41.052146|-90.543576|Illinois
Alford	30.714106|-85.348380|Florida
Alfred	42.255165|-77.792950|New York
Alfred	43.487503|-70.696087|Maine
Alfred	46.585880|-98.914671|North Dakota
Alfred Station	42.255799|-77.778084|New York
Alger	40.705967|-83.825011|Ohio
Alger	44.139488|-84.187190|Michigan
Algodones	35.428527|-106.616589|New Mexico
Algoma	37.395262|-81.415839|West Virginia
Algoma	44.610051|-87.457792|Wisconsin
Algona	43.065976|-94.230638|Iowa
Algona	47.316339|-122.270057|Washington
Algood	36.174261|-85.495310|Tennessee
Alhambra	34.074514|-118.143354|California
Alhambra	34.091436|-118.129288|California
Alhambra	38.882211|-89.744123|Illinois
Alice	27.743171|-98.083622|Texas
Alice	46.768892|-97.531819|North Dakota
Aliceville	33.122813|-88.166689|Alabama
Alicia	35.942327|-91.081003|Arkansas
Aline	36.505621|-98.457387|Oklahoma
Aliso Viejo	33.572367|-117.708906|California
Alix	35.430767|-93.726416|Arkansas
Alkabo	48.613946|-103.929128|North Dakota
Alkol	38.160884|-81.983972|West Virginia
Allakaket	66.543197|-152.712155|Alaska
Allardt	36.374889|-84.850784|Tennessee
Alledonia	39.905271|-80.957753|Ohio
Allegan	42.525609|-85.866080|Michigan
Allegany	42.091827|-78.499883|New York
Alleghany	37.784203|-80.003176|Virginia
Alleghany	39.512698|-120.727176|California
Allegheny	40.468873|-80.013128|Pennsylvania
Alleman	41.815886|-93.606305|Iowa
Allen	31.624266|-87.667460|Alabama
Allen	33.093383|-96.645433|Texas
Allen	34.850176|-96.558462|Oklahoma
Allen	37.566182|-82.636272|Kentucky
Allen	40.294466|-89.625029|Illinois
Allen	41.926419|-84.760782|Michigan
Allen	42.443667|-96.857400|Nebraska
Allen	43.290818|-101.932858|South Dakota
Allendale	33.007676|-81.320254|South Carolina
Allendale	38.523236|-87.721901|Illinois
Allendale	41.032654|-74.134185|New Jersey
Allendale	42.971066|-85.924913|Michigan
Allenhurst	31.774059|-81.618577|Georgia
Allenhurst	40.236675|-74.006706|New Jersey
Allen Park	42.252230|-83.212001|Michigan
Allenport	40.089845|-79.854194|Pennsylvania
Allenspark	40.226775|-105.520064|Colorado
Allenstown	43.147554|-71.439663|New Hampshire
Allensville	36.694744|-87.024442|Kentucky
Allensville	39.255326|-82.490699|Ohio
Allensville	40.524921|-77.829396|Pennsylvania
Allenton	43.468065|-88.353901|Wisconsin
Allentown	32.653829|-83.189796|Georgia
Allentown	40.158922|-74.590930|New Jersey
Allentown	40.589145|-75.464521|Pennsylvania
Allentown	40.601849|-75.522499|Pennsylvania
Allentown	40.602729|-75.470955|Pennsylvania
Allentown	40.606818|-75.478139|Pennsylvania
Allenwood	41.126424|-76.972362|Pennsylvania
Allerton	39.918818|-87.931235|Illinois
Allerton	40.702301|-93.372390|Iowa
Alleyton	29.745286|-96.463120|Texas
Alliance	40.915842|-81.118193|Ohio
Alliance	42.114943|-102.888045|Nebraska
Alligator	34.129425|-90.738214|Mississippi
Allison	39.982566|-79.875675|Pennsylvania
Allison	42.761465|-92.782952|Iowa
Allisonia	36.997815|-80.638173|Virginia
Allison Park	40.569975|-79.966512|Pennsylvania
Allons	36.497002|-85.319744|Tennessee
Allouez	44.485313|-88.016868|Wisconsin
Allport	40.975039|-78.210380|Pennsylvania
Allred	36.366838|-85.176084|Tennessee
Allston	42.353519|-71.132866|Massachusetts
Allyn	47.385004|-122.853571|Washington
Alma	31.546525|-82.463300|Georgia
Alma	35.500043|-94.207337|Arkansas
Alma	38.723089|-88.915695|Illinois
Alma	39.009206|-96.292323|Kansas
Alma	39.104840|-93.542853|Missouri
Alma	40.118853|-99.360073|Nebraska
Alma	42.016859|-78.040012|New York
Alma	43.380877|-84.663484|Michigan
Alma	44.429437|-91.807931|Wisconsin
Alma Center	44.445218|-90.935602|Wisconsin
Almena	39.889071|-99.704177|Kansas
Almena	45.419507|-92.002691|Wisconsin
Almeria	41.822859|-99.415404|Nebraska
Almira	47.763175|-118.912250|Washington
Almo	36.712805|-88.308666|Kentucky
Almond	35.329500|-83.578406|North Carolina
Almond	42.316036|-77.777965|New York
Almond	44.289832|-89.358364|Wisconsin
Almont	38.649970|-106.627099|Colorado
Almont	42.926007|-83.036221|Michigan
Almont	46.704605|-101.522126|North Dakota
Almyra	34.414590|-91.430992|Arkansas
Aloha	45.472985|-122.859473|Oregon
Aloha	45.517675|-122.859209|Oregon
Aloma	28.607790|-81.302112|Florida
Alorton	38.587340|-90.128290|Illinois
Alpena	36.299768|-93.279200|Arkansas
Alpena	44.170907|-98.396191|South Dakota
Alpena	45.079018|-83.460200|Michigan
Alpha	36.779735|-85.092405|Kentucky
Alpha	40.692819|-75.174100|New Jersey
Alpha	41.193029|-90.382081|Illinois
Alpha	43.594594|-94.905088|Minnesota
Alpharetta	34.035487|-84.238972|Georgia
Alpharetta	34.107677|-84.295167|Georgia
Alpine	30.263111|-103.654089|Texas
Alpine	32.828161|-116.754328|California
Alpine	33.331165|-86.208934|Alabama
Alpine	33.827878|-109.128290|Arizona
Alpine	36.380324|-85.152153|Tennessee
Alpine	40.461591|-111.768861|Utah
Alpine	40.951097|-73.930842|New Jersey
Alpine	42.351014|-76.734775|New York
Alplaus	42.857329|-73.900188|New York
Alsea	44.369068|-123.608920|Oregon
Alsip	41.671505|-87.729967|Illinois
Alstead	43.126484|-72.328052|New Hampshire
Alta	39.228032|-120.773165|California
Alta	40.560245|-111.827360|Utah
Alta	42.677118|-95.312900|Iowa
Altadena	34.191187|-118.139190|California
Alta Loma	29.371854|-95.089429|Texas
Alta Loma	34.133922|-117.599149|California
Alta Loma	34.144883|-117.579295|California
Altamont	35.425776|-85.763508|Tennessee
Altamont	37.187298|-95.298302|Kansas
Altamont	39.063449|-88.748092|Illinois
Altamont	39.905017|-94.128155|Missouri
Altamont	40.370225|-110.446356|Utah
Altamont	42.706270|-74.019339|New York
Altamont	44.763703|-96.700541|South Dakota
Altamonte Spring	28.662728|-81.371908|Florida
Altavista	37.122162|-79.291145|Virginia
Alta Vista	38.863570|-96.479983|Kansas
Alta Vista	43.148159|-92.423682|Iowa
Altha	30.531882|-85.170430|Florida
Altheimer	34.306168|-91.828916|Arkansas
Altmar	43.497022|-75.971934|New York
Alto	32.468938|-91.764300|Louisiana
Alto	34.459079|-83.601996|Georgia
Alto	42.824312|-85.425554|Michigan
Alton	26.241530|-98.342647|Texas
Alton	36.589352|-79.020237|Virginia
Alton	37.469905|-112.548389|Utah
Alton	38.908651|-90.156806|Illinois
Alton	39.451422|-98.953875|Kansas
Alton	42.978175|-96.017268|Iowa
Alton	43.463020|-71.229709|New Hampshire
Altona	41.112828|-90.159826|Illinois
Altona	44.881584|-73.640767|New York
Altonah	40.441894|-110.438499|Utah
Alton Bay	43.484468|-71.248880|New Hampshire
Altoona	29.021935|-81.632322|Florida
Altoona	37.519669|-95.648330|Kansas
Altoona	40.505240|-78.390533|Pennsylvania
Altoona	40.520945|-78.408901|Pennsylvania
Altoona	41.647549|-93.472415|Iowa
Altoona	44.802142|-91.438250|Wisconsin
Alto Pass	37.568142|-89.317179|Illinois
Altro	37.356346|-83.395749|Kentucky
Altura	44.136114|-91.974474|Minnesota
Alturas	41.476742|-120.545584|California
Altus	34.648406|-99.320483|Oklahoma
Altus	35.404873|-93.811494|Arkansas
Alum Bank	40.185833|-78.620591|Pennsylvania
Alum Bridge	39.042474|-80.688196|West Virginia
Alum Creek	38.285814|-81.786258|West Virginia
Alum Ridge	36.919523|-80.319054|Virginia
Alva	26.714657|-81.635055|Florida
Alva	36.801564|-98.672162|Oklahoma
Alvada	41.046284|-83.376982|Ohio
Alvarado	32.439499|-97.212971|Texas
Alvarado	48.201968|-96.991457|Minnesota
Alvaton	33.149902|-84.580576|Georgia
Alvaton	36.862960|-86.363213|Kentucky
Alverton	40.127866|-79.558608|Pennsylvania
Alvin	29.411950|-95.251535|Texas
Alvin	33.405953|-79.937635|South Carolina
Alvin	40.300700|-87.608003|Illinois
Alvin	45.921841|-88.695308|Wisconsin
Alviso	37.427659|-121.968597|California
Alvo	40.899185|-96.403557|Nebraska
Alvord	33.369820|-97.688488|Texas
Alvord	43.320109|-96.290994|Iowa
Alvordton	41.662489|-84.435533|Ohio
Alvy	39.451106|-80.668921|West Virginia
Alzada	45.156244|-104.261747|Montana
Ama	29.943494|-90.292509|Louisiana
Amado	31.594194|-111.039693|Arizona
Amado	31.643759|-111.072233|Arizona
Amagon	35.561559|-91.079636|Arkansas
Amana	41.831284|-91.885450|Iowa
Amanda	39.625104|-82.755236|Ohio
Amanda Park	47.470579|-123.907375|Washington
Amargosa Valley	36.944007|-116.577550|Nevada
Amarillo	35.064214|-101.974320|Texas
Amarillo	35.076290|-101.834936|Texas
Amarillo	35.154468|-101.864063|Texas
